metropolitan area,GMP
Paris,742
,
Madrid,231.1
,
Milan,213.8
,
Munich,194.9
,
Berlin,193.3
,
Amsterdam,182.7
,
Barcelona,171.4
,
Dortmund,168.4
,
Rome,165.3
,
Hamburg,162.7
,
Dublin,159.2
,
Stuttgart,155.7
,
Frankfurt,152.2
,
Stockholm,147.8
,
Brussels,147.7
,
Copenhagen,134.9
,
Vienna,132.2
,
Lisbon,110.8
,
Marseille,101.2
,
Cologne,97.9
,
Helsinki,89.5
,
Lyon,88.8
,
Düsseldorf,86.3
,
Warsaw,84.9
,
Rotterdam,81.9
,
Athens,81.9
,
Prague,81.6
,
Lille,81.5
,
Gothenburg,79.2
,
Turin,75.7
,
Utrecht,71.9
,
Budapest,69.4
,
Nuremburg,65.9
,
Naples,60.3
,
Valencia,59.1
,
Toulouse,59
,
Braunschweig-Wolfsburg,58.8
,
Hanover,57
,
Bordeaux,56.8
,
Bucharest,55.2
,
Rhine-Neckar,54.6
,
Malmö,54
,
Antwerp,53.6
,
Nantes,51.1
,
The Hague,49.9
,
Bremen,49.1
,
Bonn,43.6
,
Brescia,43.3
,
Dresden,43
,
Bologna,42.1
,
