city-city,dist
Paris-Madrid,1054.2206353287122
Paris-Milan,643.0229493462349
Paris-Munich,687.4289556766952
Paris-Berlin,880.1220118488678
Paris-Amsterdam,428.39172758992953
Paris-Dortmund,470.1237855871516
Paris-Rome,1108.1927290162203
Paris-Hamburg,746.5469809389934
Paris-Stuttgart,504.2785214173566
Paris-Frankfurt,479.4509998778179
Paris-Stockholm,1549.2891494547255
Paris-Brussels,261.76794515586585
Paris-Vienna,1037.5263746075443
Paris-Lisbon,1453.915618536448
Paris-Marseille,662.8718230789962
Paris-Cologne,403.21546376354434
Paris-Helsinki,1913.064294477804
Paris-Lyon,392.5728724882038
Paris-Düsseldorf,412.13958196175776
Paris-Warsaw,1370.8305434249735
Paris-Rotterdam,372.31722912169107
Paris-Prague,888.5874532933881
Paris-Lille,205.50758846188836
Paris-Turin,585.4094464437643
Paris-Utrecht,410.29676912578736
Paris-Budapest,1252.1348247691296
Paris-Toulouse,587.160363437951
Paris-Bordeaux,499.15133422643027
Paris-Bucharest,1876.241728494663
Paris-Malmö,1043.244739179349
Paris-Nantes,345.6236802294379
Paris-The Hague,382.783486815751
Paris-Bremen,652.1232012775387
Paris-Bonn,399.03671966033545
Paris-Dresden,853.512409822082
Paris-Bologna,842.1669930891557
Paris-London,341.8783504361983
Paris-Valencia,1066.7031646408977
Paris-Naples,1296.7883511336202
Paris-Dublin,780.8025052651757
Paris-Athens,2101.0067447463075
Paris-Barcelona,831.2270937183603
Paris-Gothenburg,1172.8653738706853
Paris-Nuremburg,639.7472495539012
Paris-Braunschweig,691.5923746495799
Paris-Hanover,652.6126206007897
Paris-Antwerp,300.603281981644
Paris-Brescia,701.8104896721467
Madrid-Milan,1191.2872822339975
Madrid-Munich,1486.2955056108592
Madrid-Berlin,1871.7316834419983
Madrid-Amsterdam,1481.542258526469
Madrid-Dortmund,1504.5683783941217
Madrid-Rome,1365.1557413989822
Madrid-Hamburg,1788.0436524628221
Madrid-Stuttgart,1379.8997239712594
Madrid-Frankfurt,1446.4352199982588
Madrid-Stockholm,2599.80340123646
Madrid-Brussels,1315.596454233931
Madrid-Vienna,1811.9003234935124
Madrid-Lisbon,504.8178933567692
Madrid-Marseille,817.3346042314595
Madrid-Cologne,1430.8369311539598
Madrid-Helsinki,2953.716851501191
Madrid-Lyon,913.6472783797027
Madrid-Düsseldorf,1448.565458017255
Madrid-Warsaw,2294.156097443881
Madrid-Rotterdam,1425.178210934166
Madrid-Prague,1777.7439106349036
Madrid-Lille,1254.4723164598781
Madrid-Turin,1063.2484424057907
Madrid-Utrecht,1464.4412479697555
Madrid-Budapest,1981.0604444178148
Madrid-Toulouse,555.4316481384044
Madrid-Bordeaux,555.3584101115479
Madrid-Bucharest,2477.6630229930915
Madrid-Malmö,2087.406233874257
Madrid-Nantes,774.9514244745634
Madrid-The Hague,1433.727832707841
Madrid-Bremen,1696.5957011771743
Madrid-Bonn,1418.6845252495489
Madrid-Dresden,1792.579018154075
Madrid-Bologna,1314.8143419606504
Madrid-London,1264.8340715217157
Madrid-Valencia,301.381327679817
Madrid-Naples,1520.3004562832662
Madrid-Dublin,1452.5541778045715
Madrid-Athens,2373.7791734654916
Madrid-Barcelona,504.0430335257964
Madrid-Gothenburg,2227.077685494512
Madrid-Nuremburg,1534.1886493696434
Madrid-Braunschweig,1706.8861419048726
Madrid-Hanover,1678.5096499558765
Madrid-Antwerp,1354.820980769654
Madrid-Brescia,1266.9798286552416
Milan-Munich,346.6139182488094
Milan-Berlin,841.84440163032
Milan-Amsterdam,826.7935073928985
Milan-Dortmund,685.9422499645041
Milan-Rome,476.9252571641851
Milan-Hamburg,900.4846786278023
Milan-Stuttgart,367.7678346683137
Milan-Frankfurt,516.0907431324617
Milan-Stockholm,1655.4264527489445
Milan-Brussels,697.5239616622745
Milan-Vienna,624.6105193492455
Milan-Lisbon,1687.5389271182187
Milan-Marseille,389.58234977486984
Milan-Cologne,629.756152161677
Milan-Helsinki,1938.8585844123495
Milan-Lyon,342.78286276713493
Milan-Düsseldorf,663.865216022727
Milan-Warsaw,1145.2801136529565
Milan-Rotterdam,796.7366592550419
Milan-Prague,646.6169900843106
Milan-Lille,734.4278962937816
Milan-Turin,128.38204607920792
Milan-Utrecht,795.5180770349162
Milan-Budapest,790.6849873995264
Milan-Toulouse,649.3295863987323
Milan-Bordeaux,773.1091975727567
Milan-Bucharest,1335.6706534110087
Milan-Malmö,1156.6488197728
Milan-Nantes,852.3288698786176
Milan-The Hague,818.9727226728108
Milan-Bremen,846.6359279335376
Milan-Bonn,604.5718777838972
Milan-Dresden,705.8508865136579
Milan-Bologna,200.1380159944091
Milan-London,960.6079884731315
Milan-Valencia,1030.9188962880983
Milan-Naples,659.6098620291126
Milan-Dublin,1418.9209176593965
Milan-Athens,1463.4197674956804
Milan-Barcelona,728.4930580356229
Milan-Gothenburg,1374.650554242832
Milan-Nuremburg,465.07706023012645
Milan-Braunschweig,761.7085922125365
Milan-Hanover,768.5435786967479
Milan-Antwerp,731.1181092386795
