,Material,Condition,Class,YS,US,E,EM,D,PR
0,AISI 1020,Hot Rolled,Carbon Steel,32.0,50.0,25.0,29000000.0,0.283,0.32
1,AISI 1020,Cold Worked,Carbon Steel,60.0,70.0,5.0,29000000.0,0.283,0.32
2,AISI 1020,Stress Relieved,Carbon Steel,50.0,65.0,10.0,29000000.0,0.283,0.32
3,AISI 1020,Annealed,Carbon Steel,28.0,48.0,30.0,29000000.0,0.283,0.32
4,AISI 1020,Normalized,Carbon Steel,34.0,55.0,22.0,29000000.0,0.283,0.32
5,AISI 1045,Hot Rolled,Carbon Steel,45.0,75.0,15.0,29000000.0,0.283,0.32
6,AISI 1045,Cold Worked,Carbon Steel,80.0,90.0,5.0,29000000.0,0.283,0.32
7,AISI 1045,Stress Relieved,Carbon Steel,70.0,80.0,8.0,29000000.0,0.283,0.32
8,AISI 1045,Annealed,Carbon Steel,35.0,65.0,20.0,29000000.0,0.283,0.32
9,AISI 1045,Normalized,Carbon Steel,48.0,75.0,15.0,29000000.0,0.283,0.32
10,ASTM A36,,Carbon Steel,36.0,58.0,21.0,29000000.0,0.283,0.3
11,ASTM A516,Grade 70,Carbon Steel,38.0,70.0,17.0,29000000.0,0.283,0.3
0,AISI 4130,Hot Rolled,Alloy Steel,70.0,90.0,20.0,29000000.0,0.283,0.32
1,AISI 4130,Stress Relieved,Alloy Steel,85.0,105.0,10.0,29000000.0,0.283,0.32
2,AISI 4130,Annealed,Alloy Steel,55.0,75.0,30.0,29000000.0,0.283,0.32
3,AISI 4130,Normalized,Alloy Steel,60.0,90.0,20.0,29000000.0,0.283,0.32
4,AISI 4140,Hot Rolled,Alloy Steel,90.0,120.0,15.0,29700000.0,0.283,0.32
5,AISI 4140,Stress Relieved,Alloy Steel,100.0,120.0,10.0,29700000.0,0.283,0.32
6,AISI 4140,Annealed,Alloy Steel,60.0,80.0,25.0,29700000.0,0.283,0.32
7,AISI 4140,Normalized,Alloy Steel,90.0,120.0,20.0,29700000.0,0.283,0.32
